State, Facility Name, Facility ID (ORISPL), Unit ID, Associated Stacks, Month, Year, Program(s), Operating Time, Gross Load (MW-h), Steam Load (1000lb), SO2 (tons), Avg. NOx Rate (lb/MMBtu), NOx (tons), CO2 (short tons), Heat Input (MMBtu), EPA Region, NERC Region, Unit Type, Fuel Type (Primary)
"AL","AMEA Sylacauga Plant","56018","1",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","28.0","1149.0",,"0.004","0.0759","0.473","732.8","12428.2","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","AMEA Sylacauga Plant","56018","2",,"5","2016","CSNOX, CSNOXOS, CSSO2G2, ARP","17.0","642.0",,"0.002","0.0809","0.283","412.3","6984.6","4","SERC","Combustion turbine","Pipeline Natural Gas",
"AL","Barry","3","1"," CS0AAN","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","2.75","11.0",,"0.005","0.008","0.001","14.213","240.05","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"AL","Barry","3","2"," CS0AAN","5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","2.75","11.0",,"0.005","0.008","0.001","14.213","240.05","4","SERC","Tangentially-fired","Pipeline Natural Gas",
"AL","Barry","3","4",,"5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","725.25","116336.0",,"572.537","0.4319","265.224","128402.0","1251483.675","4","SERC","Tangentially-fired","Coal",
"AL","Barry","3","5"," MS5C, MS5D, MS5E","5","2016","ARP, MATS, CSNOX, CSNOXOS, CSSO2G2","588.0","296632.0",,"22.029","0.0935","127.648","284202.0","2770002.2","4","SERC","Tangentially-fired","Coal",
"AL","Barry","3","6A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","712.5","185696.75",,"0.373","0.0086","5.086","73811.425","1242029.625","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Barry","3","6B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","609.25","158582.25",,"0.322","0.0085","4.407","63830.225","1074057.475","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Barry","3","7A",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","487.25","127432.75",,"0.261","0.0089","3.625","51789.975","871463.125","4","SERC","Combined cycle","Pipeline Natural Gas",
"AL","Barry","3","7B",,"5","2016","ARP, CSNOX, CSNOXOS, CSSO2G2","716.25","163748.5",,"0.379","0.0086","5.173","75014.925","1262273.925","4","SERC","Combined cycle","Pipeline Natural Gas",
